Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Georgia,-1.264141917,-0.650767446,-0.459568113,-0.212853789,0.050152458,-0.128835425,-0.102076381,-0.122036166,0.012301577,0.117519699,0.397421122,0.46361962,0.828279138,0.700735152,0.713530719,0.759495616,0.724816799,0.716545463,0.601492643,0.661079526,0.620420039,0.617694795,,,
Ghana,-0.342790067,-0.311426789,-0.279528439,-0.3687464,-0.014181604,0.038147695,-0.077458486,-0.009987613,0.014280469,-0.029126318,-0.126568556,-0.096715234,-0.195330203,-0.210838303,-0.175533578,-0.253390342,-0.13836363,-0.108660869,-0.127223,-0.128043622,-0.064371035,-0.099021114,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,-0.767053604,-0.888901353,-0.88760668,-1.073312879,-1.121541977,-1.292450428,-1.21101439,-1.096284151,-1.221938848,-1.12737143,-1.055663228,-1.04989922,-1.067463517,-1.014498711,-0.946929872,-1.037583351,-1.060088992,-0.91443634,-0.973217785,-1.020983338,-0.971789539,-0.897673428,,,
"Gambia, The",-0.233312801,-0.176545039,-0.522410035,-0.694694996,-0.729944289,-0.712738216,-0.714707136,-0.557290554,-0.587572575,-0.513804793,-0.65323174,-0.706211329,-0.694107413,-0.813720584,-0.850637615,-0.657835662,-0.50205189,-0.40711537,-0.424807698,-0.380903304,-0.275547713,-0.281129718,,,
Guinea-Bissau,-1.044214368,-1.127326012,-1.27454555,-1.174984336,-1.095482945,-1.204945683,-1.200396061,-1.21717298,-1.161557078,-1.186045289,-1.293287516,-1.341482759,-1.556959033,-1.509872556,-1.586539984,-1.596066117,-1.559087157,-1.49801743,-1.363286018,-1.320214152,-1.18545568,-1.17836988,,,
Equatorial Guinea,-1.222882509,-1.2759372,-1.380372643,-1.426847577,-1.362626076,-1.212375522,-1.198916078,-1.220263124,-1.234830737,-1.22866559,-1.239950657,-1.315907359,-1.540791154,-1.572475553,-1.603169918,-1.645761371,-1.543421268,-1.563867688,-1.539570451,-1.587349534,-1.601969361,-1.570372701,,,
Greece,0.403180629,0.363324076,0.450190425,0.351383656,0.357532442,0.261930704,0.126674965,0.062898904,-0.062511668,-0.101170935,-0.19037801,-0.075443044,-0.136098176,-0.119139403,-0.134527221,-0.112043098,-0.056208048,0.013698228,0.031950839,0.183011442,0.037597861,0.097846925,,,
Grenada,0.850210369,0.854120076,0.759357512,0.743590176,0.708866119,0.441427618,0.375134289,0.404830992,0.475884438,0.462857246,0.446904987,0.450227886,0.313041896,0.539932907,0.561088204,0.459925413,0.370333999,0.338273108,0.357770383,0.494541526,0.484212607,0.55816859,,,
Greenland,,,,,,,,1.183344483,1.210366488,1.221385837,1.213781714,1.235542297,1.203248262,1.158835292,1.132274628,1.149085402,1.144117713,1.112084985,1.009983063,1.001863241,1.029092789,1.028274775,,,
Guatemala,-0.660021722,-0.73712796,-0.619750619,-0.684203923,-0.837902725,-0.769333959,-0.666637182,-0.533482134,-0.540784419,-0.537248194,-0.678762555,-0.639291465,-0.756552994,-0.781392336,-0.791301847,-0.787501216,-0.82176429,-0.915584147,-1.134097815,-1.192652345,-1.210148692,-1.121612906,,,
Guam,,,0.370109558,0.789309144,0.775587142,0.784966588,0.797165334,0.832615554,0.815264821,0.791372001,0.779971004,0.778291643,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,1.265453935,1.279687047,1.270272374,1.251356125,,,
Guyana,-0.26159507,-0.357633144,-0.400268286,-0.558261573,-0.583094895,-0.592017114,-0.556314647,-0.539242208,-0.562469244,-0.619942248,-0.761781573,-0.651954174,-0.741052151,-0.657630563,-0.348007828,-0.531101525,-0.250006974,-0.142694622,-0.173186764,-0.187317982,-0.295522034,-0.383745015,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",1.666941762,1.800160408,1.849274278,1.770194054,1.857166886,1.908177853,1.886837244,1.876695275,1.954417706,1.845635533,1.732589602,1.636149526,1.615285397,1.610596776,1.517090917,1.572130442,1.637558818,1.652728677,1.617110729,1.679442525,1.610761762,1.625145435,,,
Honduras,-1.019552112,-0.974429309,-0.946081817,-0.81975615,-0.833331823,-0.791543305,-0.915665329,-0.908242762,-0.889169753,-0.833935797,-0.955132008,-0.94505918,-0.787561238,-0.589746416,-0.67940253,-0.738785088,-0.656895399,-0.875853598,-0.988051236,-1.091472626,-1.002288342,-1.111958146,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0.225011632,0.258523047,0.239370078,0.139555231,0.044990115,0.059037972,-0.05050467,-0.086094983,0.023101466,0.027720679,-0.025457293,0.107450113,0.200835213,0.199906364,0.155666068,0.059624635,0.046769924,0.052447699,0.177110493,0.037536457,0.147807404,0.181928679,,,
Haiti,-1.506175399,-1.584855795,-1.460177302,-1.391284227,-1.326422453,-1.290741682,-1.215589523,-1.095069528,-1.189320803,-1.237703323,-1.240631819,-1.135524273,-1.239637733,-1.25860095,-1.354207993,-1.258248806,-1.28570652,-1.347186327,-1.346688509,-1.44170785,-1.459187508,-1.443874121,,,
Hungary,0.574014664,0.635689139,0.665135562,0.625532269,0.633171618,0.595291078,0.434097022,0.395329833,0.303954065,0.332649559,0.298703164,0.293921649,0.156544849,0.118709452,0.072164074,0.090621345,0.055339221,0.030637173,0.068954095,0.01195485,-0.103261694,-0.000498131,,,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,-1.137302995,-0.979823589,-0.976611793,-0.906051815,-0.86427629,-0.630509198,-0.639086068,-0.889640629,-0.803534508,-0.7558707,-0.689105809,-0.660291791,-0.598005831,-0.519084394,-0.463151515,-0.305278927,-0.299604297,-0.473498523,-0.454962939,-0.449847877,-0.435335577,-0.486872196,,,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,
