year,country,fav_us,fav_china,corruption,aid_china,aid_us,vote_china,vote_us
2013,Rep. Dominicana,1.9190140845070425,2.2130281690140845,,,,,
2013,Uruguay,2.223587223587224,2.1818181818181817,1.397225738,0.0,0.0,0.859375,0.171875
2013,Venezuela,2.372682926829268,2.1482926829268294,,4489298996.05189,186759.111,0.8571429,0.0952381
2014,Argentina,,,-0.549791396,5294405000.0,584160.0,0.8333333,0.2405063
2014,Bolivia,,,-0.628802955,990000.0,1755910.0,0.8815789,0.1688312
2014,Chile,,,1.440734148,0.0,0.0,0.8461538,0.2151899
2014,Colombia,,,-0.397509813,0.0,34408450.16,0.7763158,0.1948052
2014,Costa Rica,,,0.725378335,49052000.0,368320.0,0.8076923,0.2405063
2014,Ecuador,,,-0.741118491,2016876469.2974,397399.9995,0.8846154,0.1392405
2014,El Salvador,,,-0.375204563,0.0,1341260.0,0.8311688,0.1666667
2014,Guatemala,,,-0.756552994,0.0,5952132.0,0.7922078,0.2179487
2014,Honduras,,,-0.787561238,0.0,3511300.0,0.7236842,0.2207792
2014,Nicaragua,,,-0.887541771,0.0,3510115.0,0.8461538,0.1392405
2014,Paraguay,,,-1.011079431,0.0,327400.0,0.6493506,0.2435897
2014,Uruguay,,,1.388093233,980000.0,0.0,0.8441558,0.1923077
2014,Venezuela,,,,2191000000.0,798240.0,0.8533333,0.1184211
2015,Argentina,2.375592417061611,2.206161137440758,-0.581265271,73131426.0033403,419783.483,0.7638889,0.2739726
2015,Bolivia,2.4690026954177897,2.2318059299191373,-0.717874646,499147325.065933,503659.526,0.7777778,0.1369863
2015,Brasil,2.119767441860465,2.255813953488372,,,,,
2015,Chile,2.293634496919918,2.290554414784394,1.182457328,7400031.423601364,195386.12,0.7638889,0.2328767
2015,Colombia,2.115065243179122,2.393831553973903,-0.352601826,0.0,19435667.902000003,0.7222222,0.2222222
2015,Costa Rica,1.933806146572104,2.145390070921986,0.687055707,145152.04053994,160080.438,0.7361111,0.2465753
2015,Ecuador,2.0616016427104724,2.286447638603696,-0.672376871,97049594.021895,2899220.457,0.7916667,0.1780822
2015,El Salvador,2.0083194675540765,2.184692179700499,-0.447838724,0.0,1971012.745,0.761194,0.2205882
2015,Guatemala,1.9141193595342068,2.046579330422125,-0.781392336,0.0,13835759.63,0.7361111,0.2328767
2015,Honduras,1.711111111111111,1.9952380952380957,-0.589746416,0.0,1493923.15324,0.5915493,0.2361111
2015,México,2.1542923433874708,2.2668213457076565,,,,,
2015,Nicaragua,2.2266666666666666,2.2711111111111117,-0.907448709,0.0,2674572.41,0.7916667,0.1232877
2015,Panamá,2.046941678520626,2.514935988620199,,,,,
2015,Paraguay,2.067357512953368,2.386873920552677,-1.018919945,50178295.26962571,653869.736,0.5492958,0.25
2015,Perú,2.1051502145922747,2.21137339055794,,,,,
2015,Rep. Dominicana,1.9055232558139532,2.1497093023255816,,,,,
2015,Uruguay,2.2515964240102173,2.30779054916986,1.300400257,30629034.1731664,0.0,0.7638889,0.2191781
2015,Venezuela,2.485549132947977,2.3053949903660884,,0.0,842168.75,0.7647059,0.115942
2016,Argentina,2.34959349593496,2.312427409988385,-0.299235553,89462315.7968475,87300.051,0.7142857,0.2948718
2016,Bolivia,2.286214953271028,2.199766355140187,-0.77488637,673819303.5020221,1011345.697,0.7567568,0.1466667
2016,Brasil,1.8902439024390243,2.1758130081300813,,,,,
2016,Chile,2.0587659157688543,2.1547502448579823,1.022761106,0.0,44255.121,0.7272727,0.2564103
2016,Colombia,2.0420932878270763,2.321956769055745,-0.384617507,0.0,13188552.134,0.6533333,0.2105263
2016,Costa Rica,1.951715374841169,2.1867852604828464,0.678310812,0.0,1494193.655,0.6710526,0.2727273
2016,Ecuador,1.8334937439846009,2.0548604427333976,-0.680792749,351013183.0068479,3422173.7499999995,0.7402597,0.1666667
2016,El Salvador,1.893155258764608,2.095158597662772,-0.556168318,0.0,1384050.362,0.7105263,0.2207792
2016,Guatemala,2.001536098310292,2.19815668202765,-0.791301847,0.0,13097257.282899998,0.6493506,0.3205128
2016,Honduras,1.746971736204576,2.0686406460296096,-0.67940253,0.0,9757978.456,0.5733333,0.2894737
2016,México,1.873134328358209,2.218550106609808,,,,,
2016,Nicaragua,1.9924357034795763,2.152798789712557,-0.897035599,0.0,3936189.411,0.7631579,0.1428571
2016,Panamá,1.9090909090909087,2.237762237762238,,,,,
2016,Paraguay,1.6670317634173055,1.9912376779846657,-0.763090432,0.0,1049131.711,0.5789474,0.2337662
2016,Perú,1.963855421686747,2.11500547645126,,,,,
2016,Rep. Dominicana,1.7448609431680775,2.1378476420798065,,,,,
2016,Uruguay,2.195244055068836,2.247809762202753,1.247056723,22923447.71494616,204006.0114,0.6973684,0.2467532
2016,Venezuela,2.240740740740741,2.2712962962962964,,2346462308.70962,1546853.466,0.75,0.1428571
2017,Argentina,2.480972515856237,2.1659619450317127,-0.309002459,1803464214.623092,762778.005,0.8,0.2
2017,Bolivia,2.4814814814814814,2.1978835978835978,-0.701330721,427805603.9622758,579350.71,0.8735632,0.1034483
2017,Brasil,2.125,2.235091743119266,,,,,
2017,Chile,2.086,2.052,1.001655817,161531365.982945,223496.89,0.8111111,0.1666667
2017,Colombia,2.0387096774193547,2.2548387096774194,-0.429829597,165798899.97695243,13339181.303,0.7640449,0.1460674
2017,Costa Rica,2.190886699507389,2.0972906403940885,0.432391852,18277033.7919763,295199.872,0.7888889,0.1888889
2017,Ecuador,1.8512014787430684,2.2264325323475047,-0.626104653,81327354.6094396,134439.4378,0.8068182,0.1136364
2017,El Salvador,1.952445652173913,2.1114130434782608,-0.534349263,0.0,2244109.02,0.7931034,0.1609195
2017,Guatemala,2.185867895545315,2.1167434715821813,-0.787501216,0.0,13711111.652,0.6777778,0.2555556
2017,Honduras,1.906116642958748,2.0398293029871977,-0.738785088,0.0,21561844.74,0.6363636,0.2386364
2017,México,2.625105307497894,2.1373209772535806,,,,,
2017,Nicaragua,2.1608187134502925,2.090643274853801,-0.895630002,0.0,3916072.553,0.8876404,0.1235955
2017,Panamá,2.034749034749035,2.2419562419562418,,,,,
2017,Paraguay,1.98252688172043,2.0295698924731185,-0.750717938,0.0,722804.833,0.6333333,0.1888889
2017,Perú,2.125370187561698,2.1125370187561696,,,,,
2017,Rep. Dominicana,1.912532637075718,2.231070496083551,,,,,
2017,Uruguay,2.378651685393258,2.1640449438202247,1.253417969,0.0,44350.363,0.8068182,0.1477273
2017,Venezuela,2.3598130841121496,2.1654205607476635,,0.0,865140.6,0.8295455,0.06818182
2018,Argentina,2.4954545454545456,2.1352272727272728,-0.099273928,24068951.3492306,1718922.124,0.7634409,0.2
2018,Bolivia,2.4505494505494507,2.253846153846154,-0.688641131,52094493.2828782,664302.502,0.8241758,0.1290323
2018,Brasil,2.022439024390244,2.097560975609756,,,,,
2018,Chile,2.1951219512195124,2.1463414634146343,0.958202481,72846723.9199616,0.0,0.7472527,0.1827957
2018,Colombia,2.0563866513233604,2.2163406214039125,-0.340439767,0.0,23261352.8471,0.7065217,0.1489362
2018,Costa Rica,2.0840336134453783,1.9975990396158465,0.501138449,17042143.3014337,225480.922,0.7419355,0.2105263
2018,Ecuador,1.903448275862069,2.149753694581281,-0.629500389,121513031.94107649,2976976.168,0.7849462,0.1894737
2018,El Salvador,2.2948207171314743,2.188579017264276,-0.58643496,0.0,14000496.171,0.7802198,0.1397849
2018,Guatemala,2.2717770034843205,2.1986062717770034,-0.82176429,0.0,17927909.708,0.5824176,0.2688172
2018,Honduras,2.0317220543806647,2.0,-0.656895399,0.0,10720212.84,0.5869565,0.2234043
2018,México,2.5827814569536423,2.163355408388521,,,,,
2018,Nicaragua,2.062049062049062,2.168831168831169,-1.024010181,0.0,3953739.7023,0.8681319,0.1075269
2018,Panamá,2.027631578947368,2.148684210526316,,,,,
2018,Paraguay,1.945736434108527,1.958656330749354,-0.870756984,0.0,435400.078,0.7058824,0.1860465
2018,Perú,2.284974093264249,2.1357512953367874,,,,,
2018,Rep. Dominicana,1.8577348066298345,2.233425414364641,,,,,
2018,Uruguay,2.3978494623655915,2.087216248506571,1.207652926,0.0,0.0,0.7717391,0.1595745
2018,Venezuela,2.336457357075914,2.246485473289597,,243642759.056629,994201.06,0.8152174,0.106383
