country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.416494011306313,5.0,2.0,2.0,3.0
Dissatisfied,Very favorable,Somewhat favorable,Somewhat bad,Greece,0.328429644920855,5.0,1.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Very favorable,Somewhat good,Greece,0.821528583073151,5.0,3.0,1.0,2.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.569523868461897,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.707813078153268,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,1.09152704186815,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.3013768683971,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.589484967591507,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.544734731873761,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.27996911153807,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.537045704928897,5.0,2.0,3.0,3.0
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.851645545047529,2.0,3.0,3.0,3.0
Satisfied,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,Greece,0.851645545047529,2.0,2.0,,2.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Somewhat bad,Greece,0.317496860003879,5.0,3.0,,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.652531051471928,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Don’t know (DO NOT READ),Somewhat bad,Greece,0.513808321354636,5.0,2.0,,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,2.547377205974,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,0.330903881561254,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.678994241653014,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Greece,0.676080365998624,5.0,3.0,,4.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Greece,0.516974152546078,5.0,3.0,,4.0
Dissatisfied,Very favorable,Very favorable,Very bad,Greece,0.697326621363605,5.0,1.0,1.0,4.0
