satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.501043952041569,3.0,2.0,3.0,3.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.846046577742616,4.0,2.0,4.0,4.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat good,Canada ,0.334220250516844,3.0,4.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.350340759626358,3.0,2.0,3.0,3.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,1.54506172408614,1.0,3.0,3.0,2.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.224214443918588,6.0,2.0,4.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very bad,Canada ,0.713055084656991,6.0,4.0,4.0,4.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.713055084656991,1.0,2.0,4.0,2.0
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,1.74859758423955,4.0,2.0,4.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,2.66099312011902,1.0,2.0,3.0,2.0
Not too satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Canada ,0.257325324314958,4.0,4.0,4.0,3.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.348781179542577,4.0,3.0,3.0,2.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.224214443918588,4.0,2.0,4.0,4.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat bad,Canada ,0.64448957324291,3.0,1.0,2.0,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.713055084656991,3.0,2.0,4.0,2.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,1.74370350434509,6.0,2.0,4.0,3.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Very bad,Canada ,0.501043952041569,4.0,3.0,4.0,4.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Canada ,1.09255007351316,4.0,3.0,3.0,4.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.845925287201424,6.0,2.0,3.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,1.0391930834993,1.0,2.0,3.0,2.0
